In : 181 , Out : 216 , Current : 215
In : 181 , Out : 71 , Current : 215
In : 181 , Out : 216 , Current : 215
In : 71 , Out : 181 , Current : 215
In : 71 , Out : 216 , Current : 215
In : 71 , Out : 181 , Current : 215
In : 71 , Out : 216 , Current : 215
In : 216 , Out : 181 , Current : 215
In : 216 , Out : 71 , Current : 215
In : 216 , Out : 181 , Current : 215
In : 216 , Out : 71 , Current : 215
In : 155 , Out : 177 , Current : 156
In : 155 , Out : 222 , Current : 156
In : 155 , Out : 177 , Current : 156
In : 155 , Out : 222 , Current : 156
In : 177 , Out : 155 , Current : 156
In : 177 , Out : 155 , Current : 156
In : 177 , Out : 222 , Current : 156
In : 177 , Out : 222 , Current : 156
In : 222 , Out : 155 , Current : 156
In : 222 , Out : 155 , Current : 156
In : 222 , Out : 177 , Current : 156
In : 222 , Out : 177 , Current : 156
In : 64 , Out : 157 , Current : 134
In : 64 , Out : 157 , Current : 134
In : 135 , Out : 157 , Current : 134
In : 135 , Out : 157 , Current : 134
In : 157 , Out : 64 , Current : 134
In : 157 , Out : 135 , Current : 134
In : 157 , Out : 157 , Current : 134
In : 157 , Out : 157 , Current : 134
In : 157 , Out : 135 , Current : 134
In : 157 , Out : 64 , Current : 134
In : 51 , Out : 182 , Current : 52
In : 51 , Out : 174 , Current : 52
In : 51 , Out : 182 , Current : 52
In : 51 , Out : 174 , Current : 52
In : 182 , Out : 51 , Current : 52
In : 182 , Out : 51 , Current : 52
In : 182 , Out : 174 , Current : 52
In : 182 , Out : 174 , Current : 52
In : 174 , Out : 51 , Current : 52
In : 174 , Out : 51 , Current : 52
In : 174 , Out : 182 , Current : 52
In : 174 , Out : 182 , Current : 52
In : 89 , Out : 237 , Current : 102
In : 89 , Out : 327 , Current : 102
In : 89 , Out : 237 , Current : 102
In : 89 , Out : 327 , Current : 102
In : 237 , Out : 89 , Current : 102
In : 237 , Out : 327 , Current : 102
In : 237 , Out : 89 , Current : 102
In : 237 , Out : 327 , Current : 102
In : 327 , Out : 89 , Current : 102
In : 327 , Out : 237 , Current : 102
In : 327 , Out : 89 , Current : 102
In : 327 , Out : 237 , Current : 102
In : 55 , Out : 125 , Current : 337
In : 55 , Out : 129 , Current : 337
In : 55 , Out : 125 , Current : 337
In : 55 , Out : 129 , Current : 337
In : 125 , Out : 55 , Current : 337
In : 125 , Out : 55 , Current : 337
In : 125 , Out : 129 , Current : 337
In : 125 , Out : 129 , Current : 337
In : 129 , Out : 55 , Current : 337
In : 129 , Out : 55 , Current : 337
In : 129 , Out : 125 , Current : 337
In : 129 , Out : 125 , Current : 337
In : 197 , Out : 177 , Current : 296
In : 197 , Out : 177 , Current : 296
In : 196 , Out : 177 , Current : 296
In : 196 , Out : 177 , Current : 296
In : 177 , Out : 197 , Current : 296
In : 177 , Out : 196 , Current : 296
In : 177 , Out : 197 , Current : 296
In : 177 , Out : 196 , Current : 296
In : 89 , Out : 97 , Current : 101
In : 89 , Out : 99 , Current : 101
In : 89 , Out : 97 , Current : 101
In : 89 , Out : 99 , Current : 101
In : 97 , Out : 89 , Current : 101
In : 97 , Out : 89 , Current : 101
In : 99 , Out : 89 , Current : 101
In : 99 , Out : 89 , Current : 101
In : 38 , Out : 38 , Current : 336
In : 38 , Out : 55 , Current : 336
In : 38 , Out : 38 , Current : 336
In : 38 , Out : 36 , Current : 336
In : 38 , Out : 55 , Current : 336
In : 38 , Out : 36 , Current : 336
In : 55 , Out : 38 , Current : 336
In : 55 , Out : 38 , Current : 336
In : 55 , Out : 36 , Current : 336
In : 55 , Out : 36 , Current : 336
In : 36 , Out : 38 , Current : 336
In : 36 , Out : 55 , Current : 336
In : 36 , Out : 38 , Current : 336
In : 36 , Out : 55 , Current : 336
In : 44 , Out : 312 , Current : 335
In : 44 , Out : 324 , Current : 335
In : 44 , Out : 312 , Current : 335
In : 44 , Out : 324 , Current : 335
In : 312 , Out : 44 , Current : 335
In : 312 , Out : 324 , Current : 335
In : 312 , Out : 44 , Current : 335
In : 312 , Out : 324 , Current : 335
In : 324 , Out : 44 , Current : 335
In : 324 , Out : 312 , Current : 335
In : 324 , Out : 44 , Current : 335
In : 324 , Out : 312 , Current : 335
In : 89 , Out : 103 , Current : 100
In : 89 , Out : 149 , Current : 100
In : 89 , Out : 149 , Current : 100
In : 89 , Out : 103 , Current : 100
In : 103 , Out : 89 , Current : 100
In : 103 , Out : 149 , Current : 100
In : 103 , Out : 149 , Current : 100
In : 103 , Out : 89 , Current : 100
In : 149 , Out : 89 , Current : 100
In : 149 , Out : 103 , Current : 100
In : 149 , Out : 103 , Current : 100
In : 149 , Out : 89 , Current : 100
In : 95 , Out : 85 , Current : 98
In : 95 , Out : 316 , Current : 98
In : 95 , Out : 85 , Current : 98
In : 95 , Out : 316 , Current : 98
In : 85 , Out : 95 , Current : 98
In : 85 , Out : 85 , Current : 98
In : 85 , Out : 95 , Current : 98
In : 85 , Out : 316 , Current : 98
In : 85 , Out : 85 , Current : 98
In : 85 , Out : 316 , Current : 98
In : 95 , Out : 95 , Current : 98
In : 95 , Out : 85 , Current : 98
In : 95 , Out : 95 , Current : 98
In : 95 , Out : 316 , Current : 98
In : 95 , Out : 85 , Current : 98
In : 95 , Out : 316 , Current : 98
In : 316 , Out : 95 , Current : 98
In : 316 , Out : 85 , Current : 98
In : 316 , Out : 95 , Current : 98
In : 316 , Out : 85 , Current : 98
In : 316 , Out : 85 , Current : 98
In : 316 , Out : 85 , Current : 98
In : 132 , Out : 145 , Current : 144
In : 132 , Out : 146 , Current : 144
In : 132 , Out : 146 , Current : 144
In : 132 , Out : 145 , Current : 144
In : 145 , Out : 132 , Current : 144
In : 145 , Out : 132 , Current : 144
In : 146 , Out : 132 , Current : 144
In : 146 , Out : 132 , Current : 144
In : 105 , Out : 193 , Current : 190
In : 105 , Out : 194 , Current : 190
In : 105 , Out : 194 , Current : 190
In : 105 , Out : 193 , Current : 190
In : 193 , Out : 105 , Current : 190
In : 193 , Out : 105 , Current : 190
In : 193 , Out : 194 , Current : 190
In : 193 , Out : 194 , Current : 190
In : 194 , Out : 105 , Current : 190
In : 194 , Out : 105 , Current : 190
In : 194 , Out : 193 , Current : 190
In : 194 , Out : 193 , Current : 190
In : 193 , Out : 105 , Current : 190
In : 193 , Out : 194 , Current : 190
In : 193 , Out : 194 , Current : 190
In : 283 , Out : 305 , Current : 284
In : 283 , Out : 305 , Current : 284
In : 285 , Out : 305 , Current : 284
In : 285 , Out : 305 , Current : 284
In : 305 , Out : 283 , Current : 284
In : 305 , Out : 285 , Current : 284
In : 305 , Out : 285 , Current : 284
In : 305 , Out : 283 , Current : 284
In : 87 , Out : 199 , Current : 91
In : 87 , Out : 199 , Current : 91
In : 199 , Out : 87 , Current : 91
In : 199 , Out : 87 , Current : 91
In : 199 , Out : 88 , Current : 91
In : 199 , Out : 88 , Current : 91
In : 88 , Out : 199 , Current : 91
In : 88 , Out : 199 , Current : 91
In : 328 , Out : 311 , Current : 330
In : 328 , Out : 311 , Current : 330
In : 311 , Out : 328 , Current : 330
In : 311 , Out : 328 , Current : 330
In : 311 , Out : 331 , Current : 330
In : 311 , Out : 331 , Current : 330
In : 172 , Out : 292 , Current : 175
In : 172 , Out : 292 , Current : 175
In : 173 , Out : 292 , Current : 175
In : 173 , Out : 292 , Current : 175
In : 292 , Out : 172 , Current : 175
In : 292 , Out : 173 , Current : 175
In : 292 , Out : 172 , Current : 175
In : 292 , Out : 173 , Current : 175
In : 87 , Out : 88 , Current : 86
In : 87 , Out : 89 , Current : 86
In : 87 , Out : 89 , Current : 86
In : 87 , Out : 88 , Current : 86
In : 88 , Out : 87 , Current : 86
In : 88 , Out : 89 , Current : 86
In : 88 , Out : 87 , Current : 86
In : 88 , Out : 89 , Current : 86
In : 89 , Out : 87 , Current : 86
In : 89 , Out : 88 , Current : 86
In : 89 , Out : 87 , Current : 86
In : 89 , Out : 88 , Current : 86
In : 127 , Out : 258 , Current : 257
In : 127 , Out : 258 , Current : 257
In : 258 , Out : 127 , Current : 257
In : 258 , Out : 127 , Current : 257
In : 258 , Out : 14 , Current : 257
In : 258 , Out : 14 , Current : 257
In : 14 , Out : 258 , Current : 257
In : 14 , Out : 258 , Current : 257
In : 42 , Out : 43 , Current : 41
In : 42 , Out : 43 , Current : 41
In : 43 , Out : 42 , Current : 41
In : 43 , Out : 44 , Current : 41
In : 43 , Out : 44 , Current : 41
In : 43 , Out : 42 , Current : 41
In : 44 , Out : 42 , Current : 41
In : 44 , Out : 43 , Current : 41
In : 44 , Out : 43 , Current : 41
In : 44 , Out : 42 , Current : 41
In : 81 , Out : 85 , Current : 83
In : 81 , Out : 85 , Current : 83
In : 85 , Out : 81 , Current : 83
In : 85 , Out : 81 , Current : 83
In : 85 , Out : 82 , Current : 83
In : 85 , Out : 82 , Current : 83
In : 82 , Out : 85 , Current : 83
In : 82 , Out : 85 , Current : 83
In : 320 , Out : 293 , Current : 322
In : 320 , Out : 293 , Current : 322
In : 293 , Out : 320 , Current : 322
In : 293 , Out : 320 , Current : 322
In : 286 , Out : 320 , Current : 319
In : 286 , Out : 321 , Current : 319
In : 286 , Out : 321 , Current : 319
In : 286 , Out : 320 , Current : 319
In : 320 , Out : 286 , Current : 319
In : 320 , Out : 286 , Current : 319
In : 320 , Out : 321 , Current : 319
In : 320 , Out : 321 , Current : 319
In : 321 , Out : 286 , Current : 319
In : 321 , Out : 320 , Current : 319
In : 321 , Out : 286 , Current : 319
In : 321 , Out : 320 , Current : 319
In : 157 , Out : 200 , Current : 158
In : 157 , Out : 246 , Current : 158
In : 157 , Out : 200 , Current : 158
In : 157 , Out : 246 , Current : 158
In : 200 , Out : 157 , Current : 158
In : 200 , Out : 246 , Current : 158
In : 200 , Out : 157 , Current : 158
In : 200 , Out : 246 , Current : 158
